,Name,Gender,Number,Year
0,Rosie,F,150,1997
1,Rosie,F,150,1998
2,Rosie,F,108,1999
3,Rosie,F,101,2000
4,Rosie,F,109,2001
5,Rosie,F,125,2002
6,Rosie,F,110,2003
7,Rosie,F,106,2004
8,Rosie,F,116,2005
9,Rosie,F,125,2006
10,Rosie,F,130,2007
11,Rosie,F,141,2008
12,Rosie,F,142,2009
13,Rosie,F,129,2010
14,Rosie,F,135,2011
15,Rosie,F,225,2012
16,Rosie,F,299,2013
17,Rosie,F,327,2014
18,Rosie,F,365,2015
19,Rosie,F,395,2016
20,Rosie,F,433,2017
21,Rosie,F,485,2018
22,Rosie,F,543,2019
23,Rosie,F,650,2020
24,Rosie,F,685,2021
25,Rosie,F,745,2022
26,Rosie,F,779,2023
