,Name,Gender,Number,Year
0,Rosa,F,967,1997
1,Rosa,M,5,1997
2,Rosa,F,1124,1998
3,Rosa,F,983,1999
4,Rosa,M,6,1999
5,Rosa,F,1005,2000
6,Rosa,M,5,2000
7,Rosa,F,938,2001
8,Rosa,F,876,2002
9,Rosa,M,5,2002
10,Rosa,F,786,2003
11,Rosa,M,10,2003
12,Rosa,F,736,2004
13,Rosa,F,776,2005
14,Rosa,F,813,2006
15,Rosa,F,741,2007
16,Rosa,F,696,2008
17,Rosa,F,626,2009
18,Rosa,F,517,2010
19,Rosa,F,468,2011
20,Rosa,F,469,2012
21,Rosa,F,436,2013
22,Rosa,F,479,2014
23,Rosa,F,455,2015
24,Rosa,F,465,2016
25,Rosa,F,441,2017
26,Rosa,F,466,2018
27,Rosa,F,450,2019
28,Rosa,F,459,2020
29,Rosa,F,451,2021
30,Rosa,F,491,2022
31,Rosa,F,440,2023
